,job_name,task_name,inst_num,status,start_time,end_time,plan_cpu,plan_mem,plan_gpu,gpu_type,runtime,runtime_T4,runtime_P100,runtime_V100
0,7e994801e35e0e24d289bc9a,MobileNetV3,1.0,Terminated,4195638.0,4201300.0,600.0,29.296875,100.0,P100,5662.0,6500.0,5662.0,3353.0
1,64892b8c715189c90235632d,LSTM,1.0,Terminated,5102336.0,5138769.0,600.0,29.296875,100.0,P100,36433.0,41830.0,36433.0,21581.0
2,c5e2c448f623af8dc7d2c8bf,LSTM,1.0,Terminated,1957878.0,2012429.0,600.0,29.296875,100.0,P100,54551.0,62632.0,54551.0,32313.0
3,0f74a86bed74a55ee9ba8301,MobileNetV3,1.0,Terminated,2607992.0,2616754.0,1800.0,58.59375,100.0,P100,8762.0,10060.0,8762.0,5190.0
4,6df576d6e4ed4bcb5944f2d5,BERT,1.0,Terminated,4733590.0,4862448.0,1200.0,29.296875,100.0,P100,128858.0,147948.0,128858.0,76329.0
5,9ad23f5371a5e68abbf341f3,ResNet50,1.0,Terminated,3340384.0,3352376.0,600.0,29.296875,100.0,V100,11992.0,23243.0,20244.0,11992.0
6,d7ed3c712e9f3a21e19954dc,MobileNetV2,1.0,Terminated,2539769.0,2560528.0,1800.0,58.59375,100.0,V100,20759.0,40236.0,35044.0,20759.0
7,ce50584c117a60d8b2989f27,BERT,1.0,Terminated,2579799.0,2581833.0,600.0,29.296875,100.0,T4,2034.0,2034.0,1771.0,1049.0
8,3c23e7c33bdf978d97a1278e,PointNet,1.0,Terminated,3526524.0,3529275.0,600.0,29.296875,100.0,P100,2751.0,3158.0,2751.0,1629.0
9,cb662daddd769450ed3ab872,MobileNetV2,1.0,Terminated,2691914.0,2699882.0,1800.0,58.59375,100.0,P100,7968.0,9148.0,7968.0,4719.0
10,72cef065169fd51d561a75d3,VGG11,1.0,Terminated,6120134.0,6122058.0,600.0,29.296875,100.0,T4,1924.0,1924.0,1675.0,992.0
11,95b14c8871fbbb88ea91069f,MobileNetV3,1.0,Terminated,2265587.0,2286047.0,1800.0,58.59375,100.0,P100,20460.0,23491.0,20460.0,12119.0
12,369dad5c8973b12ae1d3bcd9,ResNet18,1.0,Terminated,2000907.0,2013615.0,1800.0,58.59375,100.0,P100,12708.0,14590.0,12708.0,7527.0
13,3d5a51e24d69fa78954b5a0c,DCGAN,1.0,Terminated,2911074.0,2912846.0,600.0,29.296875,100.0,T4,1772.0,1772.0,1543.0,914.0
14,14fe3d76f93d24431f277065,MobileNetV3,1.0,Terminated,1702972.0,1709024.0,600.0,29.296875,100.0,T4,6052.0,6052.0,5271.0,3122.0
15,2009d54e6922e500f4b64fd9,MobileNetV2,1.0,Terminated,6315152.0,6318381.0,600.0,29.296875,100.0,T4,3229.0,3229.0,2812.0,1665.0
16,7e4b817f9946c827432d0aa1,PointNet,1.0,Terminated,2320343.0,2321573.0,600.0,29.296875,100.0,P100,1230.0,1412.0,1230.0,728.0
17,2e710b25555c8d1cdd89ce1c,EfficientNet,1.0,Terminated,1160340.0,1167309.0,600.0,29.296875,100.0,P100,6969.0,8001.0,6969.0,4128.0
18,7f139b32206935d3e3312418,EfficientNet,1.0,Terminated,3481927.0,3498495.0,3200.0,19.53125,100.0,T4,16568.0,16568.0,14430.0,8547.0
19,b0854bfab3bcb3be84c50cff,VGG11,1.0,Terminated,2346140.0,2355012.0,1800.0,58.59375,100.0,V100,8872.0,17196.0,14977.0,8872.0
20,c4c207647b9e185ccb73c3fc,ResNet50,1.0,Terminated,5670450.0,5672468.0,1800.0,58.59375,100.0,P100,2018.0,2316.0,2018.0,1195.0
21,469e934bb182f4ae5a643947,ResNet18,1.0,Terminated,4846832.0,4851494.0,600.0,29.296875,100.0,V100,4662.0,9036.0,7870.0,4662.0
22,caecc02f15b9fc82f7b50b64,Transformer,1.0,Terminated,4339827.0,4365891.0,600.0,29.296875,100.0,P100,26064.0,29925.0,26064.0,15439.0
23,c7412cdadd51e76765b1cf25,ResNet18,1.0,Terminated,3699616.0,3714574.0,3200.0,19.53125,100.0,T4,14958.0,14958.0,13027.0,7717.0
24,736d8e1cbef3c11f20483469,ResNet18,1.0,Terminated,1485705.0,1523471.0,600.0,29.296875,100.0,P100,37766.0,43360.0,37766.0,22370.0
25,d37d60c64ec84e36cd256b8a,DCGAN,1.0,Terminated,3416183.0,3420223.0,1800.0,58.59375,100.0,P100,4040.0,4638.0,4040.0,2393.0
26,cd3d209315b98295dac30120,PointNet,1.0,Terminated,3566474.0,3567894.0,1800.0,58.59375,100.0,P100,1420.0,1630.0,1420.0,841.0
27,f896d7c7c1eda50daaa11cf6,PointNet,1.0,Terminated,3894670.0,3896143.0,600.0,29.296875,100.0,P100,1473.0,1691.0,1473.0,872.0
28,3e13ce71b9c77208ec71961e,LSTM,1.0,Terminated,6104301.0,6122780.0,1800.0,58.59375,100.0,P100,18479.0,21216.0,18479.0,10946.0
29,fba61820edac687300bb31f7,PointNet,1.0,Terminated,3319115.0,3321866.0,1800.0,58.59375,100.0,P100,2751.0,3158.0,2751.0,1629.0
30,06dcada7e580f0e7f4947657,MobileNetV2,1.0,Terminated,2863045.0,2879813.0,600.0,29.296875,100.0,V100,16768.0,32500.0,28307.0,16768.0
31,a7890866a15ac20bf2e669f3,ResNet18,1.0,Terminated,1221406.0,1226128.0,600.0,29.296875,100.0,V100,4722.0,9152.0,7971.0,4722.0
32,e4dfed646dc0dff76f1f8510,MobileNetV2,1.0,Terminated,2195885.0,2270315.0,1800.0,58.59375,100.0,P100,74430.0,85456.0,74430.0,44089.0
33,0fcb8ced3e41bdc230931fea,ResNet50,1.0,Terminated,5446596.0,5450203.0,600.0,29.296875,100.0,P100,3607.0,4141.0,3607.0,2136.0
34,baf0cd75e7f35a0a4ef32f5d,EfficientNet,1.0,Terminated,6331489.0,6332863.0,1800.0,58.59375,100.0,P100,1374.0,1577.0,1374.0,813.0
35,abf9ce7962d5dfdb33d42f8f,VGG11,1.0,Terminated,1661102.0,1665325.0,1800.0,58.59375,100.0,V100,4223.0,8185.0,7129.0,4223.0
36,987cb7998f788448215f572a,BERT,1.0,Terminated,2693303.0,2694778.0,600.0,29.296875,100.0,P100,1475.0,1693.0,1475.0,873.0
37,f249eb8ec1850ae35f2e91c7,ResNet50,1.0,Terminated,1660417.0,1674533.0,1800.0,58.59375,100.0,P100,14116.0,16207.0,14116.0,8361.0
38,843aa3a1bf8aad316cc9f02c,BERT,1.0,Terminated,5199348.0,5200564.0,100.0,29.296875,100.0,V100,1216.0,2356.0,2052.0,1216.0
39,2388030f87bc77406dd5f7ca,MobileNetV3,1.0,Terminated,4672625.0,4694483.0,600.0,29.296875,100.0,V100,21858.0,42366.0,36900.0,21858.0
40,85ec0fe0cbcd2f522f2929b9,MobileNetV3,1.0,Terminated,1774556.0,1776742.0,600.0,29.296875,100.0,P100,2186.0,2509.0,2186.0,1294.0
41,e6f16ddf72b5279afcb8cab8,Transformer,1.0,Terminated,5299837.0,5303518.0,1800.0,58.59375,100.0,P100,3681.0,4226.0,3681.0,2180.0
42,4303fdcb9f5df29007796e67,ResNet18,1.0,Terminated,2839237.0,2843818.0,600.0,29.296875,100.0,P100,4581.0,5259.0,4581.0,2713.0
43,b8b1da7a86f208e7f42343ec,VGG11,1.0,Terminated,4665107.0,4692834.0,1200.0,29.296875,100.0,P100,27727.0,31834.0,27727.0,16424.0
44,9d85f5e3cfd7c6b5f3f0abde,LSTM,1.0,Terminated,2109008.0,2112033.0,600.0,29.296875,100.0,T4,3025.0,3025.0,2634.0,1560.0
45,024b5fd7b4644ecbcb9606d3,VGG11,1.0,Terminated,1874229.0,1875842.0,600.0,29.296875,100.0,T4,1613.0,1613.0,1404.0,832.0
46,c717d91864b05ec7bac803d8,PointNet,1.0,Terminated,2691950.0,2699625.0,1800.0,58.59375,100.0,V100,7675.0,14876.0,12956.0,7675.0
47,74c380af08b1794e6c163575,LSTM,1.0,Terminated,5743415.0,5745922.0,1800.0,58.59375,100.0,P100,2507.0,2878.0,2507.0,1485.0
48,eba0ab31c173e6390dde21c1,MobileNetV2,1.0,Terminated,5214091.0,5245226.0,6400.0,5.859375,100.0,V100,31135.0,60348.0,52561.0,31135.0
49,4a94f49cbf7248f363af8454,MobileNetV3,1.0,Terminated,5256377.0,5266534.0,3200.0,19.53125,100.0,T4,10157.0,10157.0,8846.0,5240.0
