,job_name,task_name,inst_num,status,start_time,end_time,plan_cpu,plan_mem,plan_gpu,gpu_type,runtime,runtime_T4,runtime_P100,runtime_V100
0,fbff8b4521427c0d9e2ec2ed,VGG19,1.0,Terminated,4714294.0,4722941.0,1800.0,58.59375,100.0,P100,8647.0,9928.0,8647.0,5122.0
1,9e17aeeeae8622701df3be85,DenseNet161,1.0,Terminated,6428308.0,6429471.0,1800.0,58.59375,100.0,P100,1163.0,1335.0,1163.0,688.0
2,a95ae83b8e9cb3d1341458c6,Transformer,1.0,Terminated,4099287.0,4109123.0,3200.0,19.53125,100.0,T4,9836.0,9836.0,8566.0,5074.0
3,bc03b5ffb5f8e6d51b05c015,DCGAN,1.0,Terminated,3659484.0,3673635.0,1800.0,58.59375,100.0,P100,14151.0,16247.0,14151.0,8382.0
4,a16b531f91583068a5fd01a9,DCGAN,1.0,Terminated,5168104.0,5170970.0,600.0,29.296875,100.0,P100,2866.0,3290.0,2866.0,1697.0
5,3fc20ae9f55a6f5270f8a2c5,DenseNet161,1.0,Terminated,4711404.0,4715127.0,1800.0,58.59375,100.0,P100,3723.0,4274.0,3723.0,2205.0
6,91bdc2d3ae601d0a6ffeee1a,VGG19,1.0,Terminated,5372418.0,5377786.0,600.0,29.296875,100.0,V100,5368.0,10404.0,9062.0,5368.0
7,030d6d7652db316985eb8f6e,Transformer,1.0,Terminated,4943281.0,4959637.0,600.0,29.296875,100.0,P100,16356.0,18779.0,16356.0,9688.0
8,6ca0e57450c07d53baa8be0c,VGG19,1.0,Terminated,3357378.0,3358662.0,600.0,29.296875,100.0,P100,1284.0,1474.0,1284.0,760.0
9,b9348c27167e4248693d11b9,InceptionV3,1.0,Terminated,1316921.0,1475663.0,600.0,29.296875,100.0,T4,158742.0,158742.0,138259.0,81898.0
10,016d447e4aa9cb3b6eafba89,LSTM,1.0,Terminated,2346144.0,2354848.0,1800.0,58.59375,100.0,P100,8704.0,9993.0,8704.0,5155.0
11,58f01ae32421a0bae03d599a,ResNet50,1.0,Terminated,4072176.0,4200882.0,600.0,29.296875,100.0,V100,128706.0,249467.0,217277.0,128706.0
12,7b4d3ed111016040ec790639,LSTM,1.0,Terminated,4485573.0,4502728.0,3200.0,19.53125,100.0,T4,17155.0,17155.0,14941.0,8850.0
